Dışa Aktarım Tarihi:,03.05.2026 16:27:32
Toplam Kayıt Sayısı:,2000

Fon Kodu,Fon Adı,Tarih,Fiyat
AAK,ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,30.04.2026,"35,215392"
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"3,182752"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,30.04.2026,"11,341683"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"61,733226"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,30.04.2026,"62,244692"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,767563"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,30.04.2026,"0,094095"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,30.04.2026,"2,867904"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,30.04.2026,"3,55478"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"66,143161"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,30.04.2026,"3,521407"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,435481"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"55,730225"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"11,397391"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"194,307408"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),30.04.2026,"43,894761"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,30.04.2026,"5,466873"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,30.04.2026,"11,746721"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,30.04.2026,"52,777566"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,30.04.2026,"0,863209"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,299809"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"108,791474"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,30.04.2026,"0,180383"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,906161"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,30.04.2026,"1,094314"
AFO,AK PORTFÖY ALTIN FONU,30.04.2026,"1,309161"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,30.04.2026,"0,295691"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,30.04.2026,"0,907028"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,30.04.2026,"0,527864"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,30.04.2026,"8,675927"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,30.04.2026,"9,611362"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),30.04.2026,"37,049476"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,30.04.2026,"65,950868"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,30.04.2026,"10,160783"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,30.04.2026,"19,63932"
AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,30.04.2026,"26,940332"
AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,30.04.2026,"1,112212"
AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"17,234609"
AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"89,354722"
AIM,AK PORTFÖY MİMKA SERBEST ÖZEL FON,30.04.2026,"24,390728"
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"153,026676"
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,30.04.2026,"0,095273"
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,21038"
AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,30.04.2026,"58,811391"
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,30.04.2026,"60,17765"
AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,30.04.2026,"59,807174"
AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,30.04.2026,"58,068185"
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,30.04.2026,"0,50095"
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"53,325126"
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,30.04.2026,"0,489737"
