Dışa Aktarım Tarihi:,04.05.2026 11:10:45
Toplam Kayıt Sayısı:,1997

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,04.05.2026,"3,194999",884100201.00,4778,"2824699206,55"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,04.05.2026,"11,354489",1697627.00,161,"19275686,54"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"61,998545",4833742.00,2286,"299684969,58"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,04.05.2026,"62,251378",124712735.00,162,"7763539629,61"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"0,832314",1337341991.00,3,"1113088292,80"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,04.05.2026,"0,094338",580108894.00,37,"54726260,21"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,04.05.2026,"2,879687",99465388.00,162,"286429148,36"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,04.05.2026,"3,577195",2478718109.00,47,"8866856956,10"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,04.05.2026,"65,993561",2090562.00,14,"137963631,68"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,04.05.2026,"3,535891",425232950.00,3599,"1503577265,83"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"3,438947",14407122.00,179,"49545328,54"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,04.05.2026,"55,655877",1392773.00,109,"77516002,55"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"11,535081",540384978.00,45,"6233384351,49"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"196,678199",12339407.00,97,"2426892347,83"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),04.05.2026,"44,143768",4300599.00,1449,"189844643,10"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,04.05.2026,"5,514507",57661414.97,1562,"317974282,31"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,04.05.2026,"11,752152",52366034.00,14,"615413598,48"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,04.05.2026,"52,777227",25545637.00,151,"1348227890,91"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,04.05.2026,"0,861208",1155588567.00,26964,"995202155,03"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,31058",3122604734.00,22397,"4092424271,29"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,04.05.2026,"108,867701",360342.30,1583,"39229637,90"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,04.05.2026,"0,180356",10089814324.00,35766,"1819755166,97"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,931573",5247237.00,401,"10135423,82"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,04.05.2026,"1,091884",4904463892.00,46007,"5355104746,87"
AFO,AK PORTFÖY ALTIN FONU,04.05.2026,"1,311489",17008033164.00,86907,"22305843088,91"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,04.05.2026,"0,298296",2548956247.00,26838,"760344633,62"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,04.05.2026,"0,902352",27305326200.00,143561,"24639003218,08"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,04.05.2026,"0,528519",2191642326.00,15568,"1158324099,55"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,04.05.2026,"8,672827",11338386.00,2468,"98335861,65"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,04.05.2026,"9,621446",21370610.00,15,"205616173,06"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),04.05.2026,"37,289661",3896361.00,2662,"145293981,23"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,04.05.2026,"65,997635",435204.00,102,"28722434,62"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,04.05.2026,"10,19866",21101346.00,603,"215205444,77"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,04.05.2026,"19,749361",5918314.00,154,"116882921,65"
AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,04.05.2026,"27,057129",23436880.00,12,"634134679,79"
AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,04.05.2026,"1,113133",58917876.00,17,"65583436,55"
AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"17,392916",9643754.00,4,"167732998,47"
AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,04.05.2026,"89,260442",4091000.00,3,"365164468,78"
AIM,AK PORTFÖY MİMKA SERBEST ÖZEL FON,04.05.2026,"24,616099",2162287.00,1,"53227071,31"
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,04.05.2026,"152,918256",8757734.00,1,"1339217413,65"
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,04.05.2026,"0,095651",131979188947.00,12716,"12623980756,80"
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,210608",26433972.00,102,"32001172,98"
AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,04.05.2026,"58,815386",62392656.00,1019,"3669648147,30"
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,04.05.2026,"60,155318",2254490.00,132,"135619563,55"
AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,04.05.2026,"59,808523",87792788.00,1470,"5250756936,76"
AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,04.05.2026,"58,045402",9680730.00,352,"561921866,44"
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,04.05.2026,"0,499167",411290245.00,9451,"205302379,05"
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"53,353145",161212850.00,21359,"8601212581,24"
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,04.05.2026,"0,488804",2144655741.00,13864,"1048315713,66"
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"0,946848",1655247914.00,17281,"1567268260,66"
AL4,ALBARAKA PORTFÖY ALBARAKA TÜRK KISA VADELİ KATILIM SERBEST (TL) FON,04.05.2026,"3,562323",318546011.00,12,"1134763819,64"
AL5,ALBARAKA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,04.05.2026,"50,433921",296672394.00,2469,"14962351937,98"
AL6,ALBARAKA PORTFÖY VAKIF KATILIM KISA VADELİ KATILIM SERBEST (TL) FON,04.05.2026,"3,483781",1426593054.00,12,"4969937083,19"
AL7,ALBARAKA PORTFÖY İKİNCİ KISA VADELİ KATILIM SERBEST (TL) FON,04.05.2026,"3,367131",1941592550.00,104,"6537596328,88"
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),04.05.2026,"0,369642",5536150384.00,26581,"2046391320,61"
ALE,AK PORTFÖY PARA PİYASASI (TL) FONU,04.05.2026,"12,037976",5822655441.00,132329,"70092986488,84"
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,04.05.2026,"99,409376",10560451.25,2550,"1049807870,98"
ANL,AK PORTFÖY ALTERNATİF BANK PARA PİYASASI (TL)FONU,04.05.2026,"33,378114",19199406.00,4124,"640839959,59"
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,04.05.2026,"20,346934",13103391.00,180,"266613830,20"
AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,553229",15818293.00,247,"24569437,94"
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,04.05.2026,"0,357164",2832071763.00,36520,"1011515313,43"
AP2,ATLAS PORTFÖY BEŞİNCİ SERBEST (TL) FON,04.05.2026,"3,47733",287026278.00,35,"998085218,16"
AP4,ATLAS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"1,425701",249218342.00,11,"355310726,69"
AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"0,996831",1026592.00,12,"1023338,97"
AP6,PARDUS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),04.05.2026,"8,990959",120598795.00,46,"1084298855,24"
AP7,PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,04.05.2026,"2,334517",76164834.00,530,"177808126,46"
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,04.05.2026,"6,897302",14525408.00,3161,"100186129,19"
APP,AK PORTFÖY P1 SERBEST ÖZEL FON,04.05.2026,"31,70854",6415502.00,2,"203426204,68"
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,04.05.2026,"0,146609",2197746665.00,13508,"322209923,05"
ARE,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU,04.05.2026,"0,219454",154227324.00,1672,"33845764,96"
