Dışa Aktarım Tarihi:,19.06.2026 11:49:06
Toplam Kayıt Sayısı:,2020

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,19.06.2026,"3,31254",861097192.00,4688,"2852418915,49"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,19.06.2026,"12,072466",1760968.00,177,"21259225,89"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"63,918748",4023528.00,2163,"257178872,27"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,19.06.2026,"84,282517",133998486.00,183,"11293729627,15"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"0,862845",1337341991.00,3,"1153918491,88"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,19.06.2026,"0,098508",580059894.00,36,"57140268,84"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,19.06.2026,"3,021942",94267707.00,174,"284871564,58"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,19.06.2026,"3,108177",2478714059.00,44,"7704282846,61"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,19.06.2026,"64,064847",2090562.00,14,"133931534,99"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,19.06.2026,"3,728082",417022855.00,3633,"1554695300,54"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"3,552965",6016796.00,157,"21377463,67"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,19.06.2026,"55,247313",1302575.00,97,"71963768,66"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"5,547805",735626916.00,45,"4081114980,63"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"169,349102",14058631.00,97,"2380816531,97"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),19.06.2026,"46,89734",4111839.00,1424,"192834310,93"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,19.06.2026,"5,968021",56618240.97,1492,"337898872,53"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,19.06.2026,"12,09686",51336945.00,16,"621015859,23"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,19.06.2026,"54,58217",25302574.00,148,"1381069398,86"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,19.06.2026,"0,856681",1001578947.00,26180,"858033697,34"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,458894",3118462207.00,21636,"4549507068,78"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,19.06.2026,"110,881388",624331.28,1453,"69226718,70"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,19.06.2026,"0,152705",7700592222.00,33963,"1175919282,27"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"2,032001",5140460.00,419,"10445420,32"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,19.06.2026,"1,187352",4282448238.00,45586,"5084774512,06"
AFO,AK PORTFÖY ALTIN FONU,19.06.2026,"1,265715",15900884425.00,84240,"20125991783,51"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,19.06.2026,"0,300728",2461211168.00,26903,"740156036,20"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,19.06.2026,"0,964813",21493544420.00,143696,"20737248984,69"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,19.06.2026,"0,569836",2107831404.00,15078,"1201117617,32"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,19.06.2026,"8,966321",11397797.00,2434,"102196304,85"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,19.06.2026,"10,156163",21370610.00,15,"217043395,86"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),19.06.2026,"39,8654",3494007.00,2523,"139289986,66"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,19.06.2026,"66,541573",479402.00,100,"31900163,09"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,19.06.2026,"10,673672",20683061.00,577,"220764204,55"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,19.06.2026,"20,772021",5983415.00,167,"124287622,23"
AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,19.06.2026,"28,558916",23436880.00,12,"669331886,59"
AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,19.06.2026,"1,172034",58917889.00,18,"69053744,74"
AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"17,48459",9643754.00,4,"168617081,20"
AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,19.06.2026,"92,158111",4091000.00,3,"377018833,45"
AIM,AK PORTFÖY MİMKA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"25,425423",2162287.00,1,"54977061,99"
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,19.06.2026,"158,60463",8812765.00,2,"1397745331,51"
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,19.06.2026,"0,10045",124864893959.00,15190,"12542679851,98"
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),19.06.2026,"1,261898",18178344.00,86,"22939210,13"
AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,19.06.2026,"60,770037",80975868.00,1015,"4920906490,42"
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,19.06.2026,"62,046627",2191944.00,125,"136002732,16"
AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,19.06.2026,"61,775249",80921479.00,1409,"4998944542,89"
AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,19.06.2026,"59,675457",7389510.00,300,"440972386,49"
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,19.06.2026,"0,525845",365662697.00,9224,"192281943,29"
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"53,802293",162226518.00,21595,"8728158591,72"
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,19.06.2026,"0,50827",2057932854.00,13643,"1045986264,77"
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"0,976517",2306124561.00,17194,"2251970638,44"
AL4,ALBARAKA PORTFÖY ALBARAKA TÜRK KISA VADELİ KATILIM SERBEST (TL) FON,19.06.2026,"3,736444",318546011.00,12,"1190229182,37"
AL5,ALBARAKA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,19.06.2026,"51,96727",268511544.00,2410,"13953811831,94"
AL6,ALBARAKA PORTFÖY VAKIF KATILIM KISA VADELİ KATILIM SERBEST (TL) FON,19.06.2026,"3,655903",1426593054.00,12,"5215486218,80"
AL7,ALBARAKA PORTFÖY İKİNCİ KISA VADELİ KATILIM SERBEST (TL) FON,19.06.2026,"3,529271",1986534407.00,107,"7011018920,65"
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),19.06.2026,"0,367623",5531832379.00,26213,"2033629872,73"
ALE,AK PORTFÖY PARA PİYASASI (TL) FONU,19.06.2026,"12,640534",6089313898.00,144778,"76972180511,99"
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,19.06.2026,"108,744746",11642046.25,2457,"1266011359,94"
ANL,AK PORTFÖY ALTERNATİF BANK PARA PİYASASI (TL)FONU,19.06.2026,"35,060569",15243744.00,3970,"534454342,05"
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,19.06.2026,"20,982785",12399516.00,173,"260176375,99"
