Dışa Aktarım Tarihi:,03.05.2026 16:38:21
Toplam Kayıt Sayısı:,2000

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAK,ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,30.04.2026,"35,215392",989575.00,755,"34848271,36"
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,30.04.2026,"3,182752",888085401.00,4822,"2826555938,09"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,30.04.2026,"11,341683",2169643.00,162,"24607402,65"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"61,733226",4834655.00,2293,"298458849,99"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,30.04.2026,"62,244692",124643726.00,161,"7758410322,40"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"0,767563",1337341991.00,3,"1026493762,00"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,30.04.2026,"0,094095",580108894.00,37,"54585308,63"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,30.04.2026,"2,867904",99546719.00,164,"285490480,09"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,30.04.2026,"3,55478",2478718109.00,47,"8811297470,22"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"66,143161",2090562.00,14,"138276379,60"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,30.04.2026,"3,521407",434708954.00,3575,"1530786952,92"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"3,435481",15345930.00,179,"52720655,10"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,30.04.2026,"55,730225",1391187.00,110,"77531164,50"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"11,397391",540384978.00,45,"6158978970,18"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"194,307408",12339407.00,97,"2397638184,95"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),30.04.2026,"43,894761",4277234.00,1458,"187748162,95"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,30.04.2026,"5,466873",57659352.97,1564,"315216337,65"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,30.04.2026,"11,746721",52366034.00,15,"615129194,92"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,30.04.2026,"52,777566",25545637.00,160,"1348236554,85"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,30.04.2026,"0,863209",1161539843.00,27000,"1002652010,32"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,299809",3126326117.00,22451,"4063627440,91"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,30.04.2026,"108,791474",388603.30,813,"42276725,83"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,30.04.2026,"0,180383",10080645627.00,35942,"1818374325,28"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,906161",5780361.00,400,"11018297,96"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,30.04.2026,"1,094314",4911580826.00,46034,"5374811822,90"
AFO,AK PORTFÖY ALTIN FONU,30.04.2026,"1,309161",17050795603.00,87036,"22322233627,00"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,30.04.2026,"0,295691",2552376046.00,26873,"754715462,18"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,30.04.2026,"0,907028",27381375316.00,143725,"24835686522,53"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,30.04.2026,"0,527864",2192476595.00,15602,"1157328475,38"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,30.04.2026,"8,675927",11352692.00,2477,"98495129,89"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,30.04.2026,"9,611362",21370610.00,15,"205400674,33"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),30.04.2026,"37,049476",3889139.00,2667,"144090561,55"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,30.04.2026,"65,950868",432505.00,101,"28524080,21"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,30.04.2026,"10,160783",21102780.00,606,"214420763,38"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,30.04.2026,"19,63932",5918631.00,154,"116237885,81"
AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,30.04.2026,"26,940332",23436880.00,12,"631397331,43"
AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,30.04.2026,"1,112212",58917876.00,17,"65529174,32"
AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"17,234609",9643754.00,4,"166206332,53"
AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"89,354722",4091000.00,3,"365550168,59"
AIM,AK PORTFÖY MİMKA SERBEST ÖZEL FON,30.04.2026,"24,390728",2162287.00,1,"52739754,12"
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,30.04.2026,"153,026676",8757734.00,1,"1340166920,34"
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,30.04.2026,"0,095273",136620824188.00,12642,"13016264086,58"
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),30.04.2026,"1,21038",26020879.00,101,"31495146,94"
